MariaDB [dbtugas5]> SELECT o.addressLine1, o.phone, o.city as kota,
    -> e.firstName, e.email, e.jobTitle, c.customerName,
    -> c.phone as telp, c.city, p.paymentDate, p.amount
    -> FROM employees as e
    -> INNER JOIN offices as o ON e.officeCode = o.officeCode
    -> INNER JOIN customers as c ON e.employeeNumber = c.salesRepEmployeeNumber
    -> INNER JOIN payments as p ON c.customerNumber = p.customerNumber;
ERROR 2006 (HY000): MySQL server has gone away
No connection. Trying to reconnect...
Connection id:    793
Current database: dbtugas5

+--------------------------+------------------+---------------+-----------+---------------------------------+-----------+------------------------------------+--------------------+-------------------+-------------+-----------+
| addressLine1             | phone            | kota          | firstName | email                           | jobTitle  | customerName                       | telp               | city              | paymentDate | amount    |
+--------------------------+------------------+---------------+-----------+---------------------------------+-----------+------------------------------------+--------------------+-------------------+-------------+-----------+
| 100 Market Street        | +1 650 219 4782  | San Francisco | Leslie    | ljennings@classicmodelcars.com  | Sales Rep | Mini Gifts Distributors Ltd.       | 4155551450         | San Rafael        | 2005-03-05  | 101244.59 |
| 100 Market Street        | +1 650 219 4782  | San Francisco | Leslie    | ljennings@classicmodelcars.com  | Sales Rep | Mini Gifts Distributors Ltd.       | 4155551450         | San Rafael        | 2004-08-28  |  85410.87 |
| 100 Market Street        | +1 650 219 4782  | San Francisco | Leslie    | ljennings@classicmodelcars.com  | Sales Rep | Mini Gifts Distributors Ltd.       | 4155551450         | San Rafael        | 2003-04-11  |  11044.30 |
| 100 Market Street        | +1 650 219 4782  | San Francisco | Leslie    | ljennings@classicmodelcars.com  | Sales Rep | Mini Gifts Distributors Ltd.       | 4155551450         | San Rafael        | 2005-04-16  |  83598.04 |
| 100 Market Street        | +1 650 219 4782  | San Francisco | Leslie    | ljennings@classicmodelcars.com  | Sales Rep | Mini Gifts Distributors Ltd.       | 4155551450         | San Rafael        | 2004-12-27  |  47142.70 |
| 100 Market Street        | +1 650 219 4782  | San Francisco | Leslie    | ljennings@classicmodelcars.com  | Sales Rep | Mini Gifts Distributors Ltd.       | 4155551450         | San Rafael        | 2004-11-02  |  55639.66 |
| 100 Market Street        | +1 650 219 4782  | San Francisco | Leslie    | ljennings@classicmodelcars.com  | Sales Rep | Mini Gifts Distributors Ltd.       | 4155551450         | San Rafael        | 2003-08-15  | 111654.40 |
| 100 Market Street        | +1 650 219 4782  | San Francisco | Leslie    | ljennings@classicmodelcars.com  | Sales Rep | Mini Gifts Distributors Ltd.       | 4155551450         | San Rafael        | 2004-03-26  |  43369.30 |
| 100 Market Street        | +1 650 219 4782  | San Francisco | Leslie    | ljennings@classicmodelcars.com  | Sales Rep | Mini Gifts Distributors Ltd.       | 4155551450         | San Rafael        | 2003-11-25  |  45084.38 |
| 100 Market Street        | +1 650 219 4782  | San Francisco | Leslie    | ljennings@classicmodelcars.com  | Sales Rep | Mini Wheels Co.                    | 6505555787         | San Francisco     | 2004-12-08  |  26248.78 |
| 100 Market Street        | +1 650 219 4782  | San Francisco | Leslie    | ljennings@classicmodelcars.com  | Sales Rep | Mini Wheels Co.                    | 6505555787         | San Francisco     | 2003-12-11  |  23923.93 |
| 100 Market Street        | +1 650 219 4782  | San Francisco | Leslie    | ljennings@classicmodelcars.com  | Sales Rep | Mini Wheels Co.                    | 6505555787         | San Francisco     | 2003-04-09  |  16537.85 |
| 100 Market Street        | +1 650 219 4782  | San Francisco | Leslie    | ljennings@classicmodelcars.com  | Sales Rep | Technics Stores Inc.               | 6505556809         | Burlingame        | 2004-11-14  |   2434.25 |
| 100 Market Street        | +1 650 219 4782  | San Francisco | Leslie    | ljennings@classicmodelcars.com  | Sales Rep | Technics Stores Inc.               | 6505556809         | Burlingame        | 2003-11-18  |  50743.65 |
| 100 Market Street        | +1 650 219 4782  | San Francisco | Leslie    | ljennings@classicmodelcars.com  | Sales Rep | Technics Stores Inc.               | 6505556809         | Burlingame        | 2005-02-02  |  12692.19 |
| 100 Market Street        | +1 650 219 4782  | San Francisco | Leslie    | ljennings@classicmodelcars.com  | Sales Rep | Technics Stores Inc.               | 6505556809         | Burlingame        | 2003-08-05  |  38675.13 |
| 100 Market Street        | +1 650 219 4782  | San Francisco | Leslie    | ljennings@classicmodelcars.com  | Sales Rep | Corporate Gift Ideas Co.           | 6505551386         | San Francisco     | 2003-11-03  |  85559.12 |
| 100 Market Street        | +1 650 219 4782  | San Francisco | Leslie    | ljennings@classicmodelcars.com  | Sales Rep | Corporate Gift Ideas Co.           | 6505551386         | San Francisco     | 2005-03-15  |  46781.66 |
| 100 Market Street        | +1 650 219 4782  | San Francisco | Leslie    | ljennings@classicmodelcars.com  | Sales Rep | The Sharp Gifts Warehouse          | 4085553659         | San Jose          | 2004-06-21  |  59551.38 |
| 100 Market Street        | +1 650 219 4782  | San Francisco | Leslie    | ljennings@classicmodelcars.com  | Sales Rep | Signal Collectibles Ltd.           | 4155554312         | Brisbane          | 2003-09-28  |  29997.09 |
| 100 Market Street        | +1 650 219 4782  | San Francisco | Leslie    | ljennings@classicmodelcars.com  | Sales Rep | Signal Collectibles Ltd.           | 4155554312         | Brisbane          | 2004-02-29  |  12573.28 |
| 100 Market Street        | +1 650 219 4782  | San Francisco | Leslie    | lthompson@classicmodelcars.com  | Sales Rep | Signal Gift Stores                 | 7025551838         | Las Vegas         | 2004-12-17  |  14191.12 |
| 100 Market Street        | +1 650 219 4782  | San Francisco | Leslie    | lthompson@classicmodelcars.com  | Sales Rep | Signal Gift Stores                 | 7025551838         | Las Vegas         | 2003-06-06  |  32641.98 |
| 100 Market Street        | +1 650 219 4782  | San Francisco | Leslie    | lthompson@classicmodelcars.com  | Sales Rep | Signal Gift Stores                 | 7025551838         | Las Vegas         | 2004-08-20  |  33347.88 |
| 100 Market Street        | +1 650 219 4782  | San Francisco | Leslie    | lthompson@classicmodelcars.com  | Sales Rep | Toys4GrownUps.com                  | 6265557265         | Pasadena          | 2003-12-04  |   3879.96 |
| 100 Market Street        | +1 650 219 4782  | San Francisco | Leslie    | lthompson@classicmodelcars.com  | Sales Rep | Toys4GrownUps.com                  | 6265557265         | Pasadena          | 2003-09-05  |  50342.74 |
| 100 Market Street        | +1 650 219 4782  | San Francisco | Leslie    | lthompson@classicmodelcars.com  | Sales Rep | Toys4GrownUps.com                  | 6265557265         | Pasadena          | 2005-02-06  |  39580.60 |
| 100 Market Street        | +1 650 219 4782  | San Francisco | Leslie    | lthompson@classicmodelcars.com  | Sales Rep | Boards & Toys Co.                  | 3105552373         | Glendale          | 2005-03-02  |   3452.75 |
| 100 Market Street        | +1 650 219 4782  | San Francisco | Leslie    | lthompson@classicmodelcars.com  | Sales Rep | Boards & Toys Co.                  | 3105552373         | Glendale          | 2003-10-18  |   4465.85 |
| 100 Market Street        | +1 650 219 4782  | San Francisco | Leslie    | lthompson@classicmodelcars.com  | Sales Rep | Collectable Mini Designs Co.       | 7605558146         | San Diego         | 2004-03-15  |  80375.24 |
| 100 Market Street        | +1 650 219 4782  | San Francisco | Leslie    | lthompson@classicmodelcars.com  | Sales Rep | Men 'R' US Retailers, Ltd.         | 2155554369         | Los Angeles       | 2004-01-18  |  21053.69 |
| 100 Market Street        | +1 650 219 4782  | San Francisco | Leslie    | lthompson@classicmodelcars.com  | Sales Rep | Men 'R' US Retailers, Ltd.         | 2155554369         | Los Angeles       | 2003-10-24  |  20452.50 |
| 100 Market Street        | +1 650 219 4782  | San Francisco | Leslie    | lthompson@classicmodelcars.com  | Sales Rep | West Coast Collectables Co.        | 3105553722         | Burbank           | 2003-12-09  |   7678.25 |
| 100 Market Street        | +1 650 219 4782  | San Francisco | Leslie    | lthompson@classicmodelcars.com  | Sales Rep | West Coast Collectables Co.        | 3105553722         | Burbank           | 2004-02-13  |  36070.47 |
| 1550 Court Place         | +1 215 837 0825  | Boston        | Julie     | jfirrelli@classicmodelcars.com  | Sales Rep | Cambridge Collectables Co.         | 6175555555         | Cambridge         | 2004-05-13  |  11843.45 |
| 1550 Court Place         | +1 215 837 0825  | Boston        | Julie     | jfirrelli@classicmodelcars.com  | Sales Rep | Cambridge Collectables Co.         | 6175555555         | Cambridge         | 2004-03-29  |  20355.24 |
| 1550 Court Place         | +1 215 837 0825  | Boston        | Julie     | jfirrelli@classicmodelcars.com  | Sales Rep | Online Mini Collectables           | 6175557555         | Brickhaven        | 2004-08-13  |  51152.86 |
| 1550 Court Place         | +1 215 837 0825  | Boston        | Julie     | jfirrelli@classicmodelcars.com  | Sales Rep | Online Mini Collectables           | 6175557555         | Brickhaven        | 2004-09-24  |   4424.40 |
| 1550 Court Place         | +1 215 837 0825  | Boston        | Julie     | jfirrelli@classicmodelcars.com  | Sales Rep | Mini Creations Ltd.                | 5085559555         | New Bedford       | 2005-01-18  |   8307.28 |
| 1550 Court Place         | +1 215 837 0825  | Boston        | Julie     | jfirrelli@classicmodelcars.com  | Sales Rep | Mini Creations Ltd.                | 5085559555         | New Bedford       | 2003-08-20  |  41016.75 |
| 1550 Court Place         | +1 215 837 0825  | Boston        | Julie     | jfirrelli@classicmodelcars.com  | Sales Rep | Mini Creations Ltd.                | 5085559555         | New Bedford       | 2003-11-24  |  52548.49 |
| 1550 Court Place         | +1 215 837 0825  | Boston        | Julie     | jfirrelli@classicmodelcars.com  | Sales Rep | Classic Gift Ideas, Inc            | 2155554695         | Philadelphia      | 2004-10-24  |  23333.06 |
| 1550 Court Place         | +1 215 837 0825  | Boston        | Julie     | jfirrelli@classicmodelcars.com  | Sales Rep | Classic Gift Ideas, Inc            | 2155554695         | Philadelphia      | 2003-11-28  |  34606.28 |
| 1550 Court Place         | +1 215 837 0825  | Boston        | Julie     | jfirrelli@classicmodelcars.com  | Sales Rep | Collectables For Less Inc.         | 6175558555         | Brickhaven        | 2005-02-12  |  28322.83 |
| 1550 Court Place         | +1 215 837 0825  | Boston        | Julie     | jfirrelli@classicmodelcars.com  | Sales Rep | Collectables For Less Inc.         | 6175558555         | Brickhaven        | 2003-09-16  |  32680.31 |
| 1550 Court Place         | +1 215 837 0825  | Boston        | Julie     | jfirrelli@classicmodelcars.com  | Sales Rep | Collectables For Less Inc.         | 6175558555         | Brickhaven        | 2004-08-02  |  12530.51 |
| 1550 Court Place         | +1 215 837 0825  | Boston        | Julie     | jfirrelli@classicmodelcars.com  | Sales Rep | Diecast Collectables               | 6175552555         | Boston            | 2003-12-26  |  59265.14 |
| 1550 Court Place         | +1 215 837 0825  | Boston        | Julie     | jfirrelli@classicmodelcars.com  | Sales Rep | Diecast Collectables               | 6175552555         | Boston            | 2004-05-14  |   6276.60 |
| 1550 Court Place         | +1 215 837 0825  | Boston        | Steve     | spatterson@classicmodelcars.com | Sales Rep | Diecast Classics Inc.              | 2155551555         | Allentown         | 2004-11-19  |  35152.12 |
| 1550 Court Place         | +1 215 837 0825  | Boston        | Steve     | spatterson@classicmodelcars.com | Sales Rep | Diecast Classics Inc.              | 2155551555         | Allentown         | 2004-09-07  |  63357.13 |
| 1550 Court Place         | +1 215 837 0825  | Boston        | Steve     | spatterson@classicmodelcars.com | Sales Rep | Auto-Moto Classics Inc.            | 6175558428         | Brickhaven        | 2004-12-06  |   9658.74 |
| 1550 Court Place         | +1 215 837 0825  | Boston        | Steve     | spatterson@classicmodelcars.com | Sales Rep | Auto-Moto Classics Inc.            | 6175558428         | Brickhaven        | 2003-07-06  |   6036.96 |
| 1550 Court Place         | +1 215 837 0825  | Boston        | Steve     | spatterson@classicmodelcars.com | Sales Rep | Auto-Moto Classics Inc.            | 6175558428         | Brickhaven        | 2004-09-21  |   5858.56 |
| 1550 Court Place         | +1 215 837 0825  | Boston        | Steve     | spatterson@classicmodelcars.com | Sales Rep | Marta's Replicas Co.               | 6175558555         | Cambridge         | 2004-10-28  |  47411.33 |
| 1550 Court Place         | +1 215 837 0825  | Boston        | Steve     | spatterson@classicmodelcars.com | Sales Rep | Marta's Replicas Co.               | 6175558555         | Cambridge         | 2004-09-05  |  43134.04 |
| 1550 Court Place         | +1 215 837 0825  | Boston        | Steve     | spatterson@classicmodelcars.com | Sales Rep | Gifts4AllAges.com                  | 6175559555         | Boston            | 2004-07-11  |  18473.71 |
| 1550 Court Place         | +1 215 837 0825  | Boston        | Steve     | spatterson@classicmodelcars.com | Sales Rep | Gifts4AllAges.com                  | 6175559555         | Boston            | 2004-09-21  |  15059.76 |
